Datetime,Text
2015-02-17 00:47:37+00:00,FeMec = :p FeMec + @Vitoor_Andrade = s2
2015-02-13 13:48:40+00:00,"As vezes me sinto invisivel, sei la.. .-."
2015-02-07 03:38:45+00:00,@Vitoor_Andrade Bora uma foto com sorriso no perfil do twitter. poxa *-* #IchLiebeDich #J'taime #TeAmo
2015-02-06 00:04:46+00:00,Lang-8 eh muito amor <3 ¨*-*
2015-02-05 14:29:45+00:00,Ich betrachte die Interdisziplinarität von grö... | Lang-8 http://lang-8.com/1078471/journals/144962911440340393322380204310805780345 #lang8
2015-02-04 03:34:33+00:00,"Ich suche, in einer deutschen Universität das ... | Lang-8 http://lang-8.com/1078471/journals/230646167737321623821681823193069718634 #lang8"
2015-02-02 06:27:14+00:00,Não tem nada pra se fazer na internet a essa hora .-.
2015-01-29 21:00:35+00:00,Um ano de namoro <3
2015-01-29 20:59:20+00:00,Fevereiro vai ser PUNK
2015-01-29 20:59:04+00:00,E esses trolebus antigos que fazem questao de nos fazer sentir como um saco de batatas em um portamalas em movimento .-.
2015-01-29 20:57:18+00:00,@RoskaStifler Tambem! Kkkkkk
2015-01-27 20:08:48+00:00,@RoskaStifler. <3
2015-01-27 20:08:24+00:00,@RoskaStifler Um segredo: Tu eh gay :))
2015-01-27 20:07:49+00:00,'-'
2015-01-27 18:53:42+00:00,Tenho q faze um curriculo .-.
2015-01-23 02:43:01+00:00,@Vitoor_Andrade Eu tbm te amo muito &lt
2015-01-23 00:45:29+00:00,@RoskaStifler Ceis são foda uheuehueheue Qual eh a escola dessa vez?
2015-01-22 23:39:59+00:00,@allanthiago5 sifudê Seus sofras até no Twitter man? hahaha'
2015-01-22 23:39:21+00:00,"@steh_saegi kkkkkk' eu passei uma vez sem querer e funcionou... fico me perguntando até hoje se aquela catraca n roubou 3,20 de condução"
2015-01-22 23:36:39+00:00,Antigamente eu tinha mais criatividade em 140 palavras .-.
2015-01-22 23:35:05+00:00,@steh_saegi Dahora quando a do ônibus libera a catraca da faculdade hahaha'
2015-01-22 23:32:42+00:00,@RoskaStifler @allanthiago5 Hora do recreio?
2015-01-19 05:26:53+00:00,"Alemão é uma lingua muito treta, pelamordeodin :p"
2015-01-18 02:09:42+00:00,".-,"
2015-01-10 17:54:48+00:00,"Mais umas 3 semanas de ferias.. E ja vou ter trabalho semana q vem... Saudade quando ""ferias"" realmente eram ferias"
2015-01-10 17:53:03+00:00,"@RoskaStifler Tiraram a tv globinho, tao dancando funk"
2015-01-10 17:52:26+00:00,"@RoskaStifler aaaaaaaaa :(( Blz, guarda grana ae q na prox vc vai c a gnt, bitch u.u kkkk"
2015-01-10 17:47:23+00:00,@RoskaStifler huehuehuehue zuera Eae pq n foi c nois sua quenga?? :((((
2015-01-10 17:46:17+00:00,@RoskaStifler pirok
2015-01-10 09:20:48+00:00,Balada muito boa com o @Vitoor_Andrade e a galerinha da facul *-*
2015-01-10 09:05:47+00:00,Daqui a pouco vem a ressaca u.u kkk
2015-01-10 03:33:54+00:00,Eu amo o Vito *-* I love Vito *-* Ich liebe Vito *-* Aishiteru Vito.*-*
2015-01-10 03:31:43+00:00,To bebado hue
2015-01-04 16:05:26+00:00,Seria legal se o twitter ficasse mais movimentado do que o Face... Aq eh bem melhor :p
2015-01-04 16:03:37+00:00,@RoskaStifler sai mas ja voltei Se pa vou acabar mexendo mais no twitter q no face nessapoha kkkkk
2015-01-04 16:03:02+00:00,@RoskaStifler coitada ://
2014-12-31 21:36:03+00:00,@RoskaStifler Eu respondo gata :3
2014-12-31 12:03:03+00:00,@KelvinSylva__ Ela robo meu caminhao :(
2014-12-31 01:21:19+00:00,@AlienwareALX @LonizRadcliffe Morraum u.u kk'
2014-12-31 01:20:23+00:00,@ovofritu @Vitoor_Andrade *--------------*
2014-12-30 05:41:52+00:00,Seria tão bom se todo mundo que usasse face viesse pro twitter Twitter era mais legal .-.
2014-11-19 18:57:28+00:00,Esse site do Lang-8 e do lyrictraining são muito fodas pra estudar alemão!! *-*
2014-10-18 14:40:44+00:00,@Vitoor_Andrade TE AMO Quero te fazer feliz sempre! E não quero ser o seu tempo perdido!!! #IchLiebeDich #AssistirBBagora
2014-10-13 23:40:38+00:00,Tem alguem aqui ainda? :p
2014-10-13 23:39:50+00:00,@RoskaStifler Passiva!
2014-10-06 05:01:42+00:00,@RoskaStifler Bora kkkkkkkkkk' Quem mais q a gnt conhece q tem TT? *-*
2014-10-06 04:49:32+00:00,@RoskaStifler uashusahsauhsahshua E eu.. que só vim fuçar aq rapidão e te acho do nada uhehuehehu Acho que vou voltar a usar sapoha xD
2014-10-06 04:46:00+00:00,"@RoskaStifler Ain fala assim não, bi :( kkkkk' Sai do twitter e vai durmii xD"
2014-10-06 04:42:35+00:00,@RoskaStifler Viada :))
2013-07-24 03:35:10+00:00,Procurando Estúdios de Gravação... Soh achei a EstudioL ateh agora .-.
2013-07-24 02:47:52+00:00,@Connolyn Vlw xD
2013-07-24 02:23:54+00:00,Ok... voltei... perdido... Whatever...
2012-08-15 23:05:50+00:00,Faz tempo q n venho aqui... cel sem opera mini eh triste =p
2012-08-15 23:03:35+00:00,@robertinho_47 Ei troquei de numero me passa o seu depois por sms o/ 95808-8073
2012-08-10 23:11:01+00:00,Eh... de um dia pra outro ficar sem celular eh uma bosta '-'
2012-08-06 22:41:46+00:00,"Faço de conta que não ligo, q não sei de nada, me mostrando indiferente e tals... mas sei la O.o"
2012-08-05 17:00:56+00:00,Q domingo enjoado =p
2012-08-04 21:26:20+00:00,Não sei pq mas me bateu uma vontade imensa de jogar banco imobiliario #DejavuDeInfância O.o
2012-08-04 21:24:51+00:00,Cansado cansado =S
2012-08-04 21:22:13+00:00,20 tipos de polimeros diferentes?? vou fzr uma improvisação nivel master pra porra desse trabalho complicado do carmelo kkkkkkk'
2012-08-04 16:49:39+00:00,O sinal ta uma merda O.o
2012-08-04 16:43:47+00:00,Não lembrava mais de como era chato ir pro centro =p
2012-08-04 16:28:17+00:00,Dizem que todo rockeiro deve ter ao menos 1 calça jeans preta no guarda-roupa... peguei a calça mais china possivel kkkkkk'l
2012-08-04 05:28:01+00:00,Acho q tem mais gente q conheço q tbm tem twitter ativo e n sigo... mas as vezes esqueço de perguntar... aparece gnt c twitter do nada O.o
2012-08-04 05:23:45+00:00,E mais uma dedicação à esses 2 bestas q ano passado me atormentavam um de manhã e outra a tarde @ronyGDR e @nelmapink kkkkkkkkkkkk' *-*
2012-08-04 05:20:23+00:00,Ele tbm representa! @KelvinSylva_ o/
2012-08-04 05:18:40+00:00,Dedico esse tweet à 2 amigos mto fodas @renant29 e @crazyroslaine \o/
2012-08-04 05:15:30+00:00,"Ok, agora chega de depressão kkkk' 2 horas da madruga e ainda vou pra galeria cedo o/"
2012-08-04 05:13:14+00:00,Sim sou anti-social? Motivo? Nenhum... =)
2012-08-04 05:08:11+00:00,Fechando agora a pior semana do ano pra mim o/
2012-07-31 23:43:27+00:00,@_LariGoncalves kkkkkkkkk' boa sorte o//
2012-07-31 23:33:35+00:00,@_LariGoncalves Tem como viver pra estudar sem refrigerante?? Corajosa kkkk'
2012-07-31 23:22:17+00:00,"Mew, Liquid Tension Experiment eh mto foda! Um dia solo a guitarra q nem John Petrucci o//"
2012-07-31 23:12:49+00:00,@robertinho_47 Seguindo o/
2012-07-30 23:49:50+00:00,Pirei em Liquid Tension Experiment *---* mto FODAA!!!!!
2012-07-30 23:36:50+00:00,"Tbm, virar a noite com esses bestas do @Renant29 @crazyroslaine, @srta_dressa, @KelvinSylva_ e o resto do #povo_sem_twitter, n presta kkkkk'"
2012-07-30 23:32:09+00:00,"1º dia de tecnico quase dormindo, e quase deito no colo da mulher no ônibus d tanto sono!! Mau pressagio pros próximos dias de tecnico hdasu"
2012-07-30 23:30:35+00:00,@Taxinhaaa KKKKKKKKKKKKKKKK' eu ri agora! tira as aulas do carmelo da cabeça =þ
2012-07-30 16:11:20+00:00,Primeiro dia no tecnico começando mto bem... morrendo de sono kk'
2012-07-28 07:37:42+00:00,04:30 e sem um pingo de sono...
2012-07-28 07:21:48+00:00,"Tenho q me lembrar de escutar as musicas de ""Liquid Tension Experiment""... a indicação dessa banda eh boa *-*"
2012-07-28 04:35:59+00:00,Q erro drastico de legenda kkkkkkk'
2012-07-28 04:04:03+00:00,Show Evanescence na MTV ja detonando!! pena q n posso aumentar o volume pra n acordar a vovó dormindo kkkkk'
2012-07-28 04:01:03+00:00,@renant29 Kkkkkkkkkkkkkkk'
2012-07-27 19:56:34+00:00,"Aos amigos falsos que eu tive, soh tenho à agradecer!! Sem eles, eu jamais saberia dizer quem são os verdadeiros! =)"
2012-07-27 19:44:16+00:00,Eh cada susto que eu levo O.o
2012-07-27 19:40:54+00:00,"@Renant29 Aham... o estilo eh diferente, mas pelo menos eles sabem tocar kdopaskdsaopdksaopdksapo"
2012-07-27 19:40:10+00:00,"@Renant29 no começo ninguem canta nda, depois vem a parte calma... eh soh depois q vem o berreiro kdasopdsaop"
2012-07-26 06:05:06+00:00,"""Octavarium"" - Dream Theater: Uma musica de 25 minutos, que conta uma... alias, 5 histórias em uma única canção! Epico! *-*"
2012-07-26 05:39:54+00:00,"Por mais que eu n curta Aerosmith, ""Dream On"" eh uma ótima musica pra escutar antes de dormir... e ta passando na MTV agora *-*"
2012-07-26 05:37:40+00:00,"Precisei de um longo tempo para refletir... n foi muito, mas acho q foi o suficiente =)"
2012-07-26 05:35:58+00:00,Vai dormir @crazyroslaine kkkkkk' #Heroína
2012-07-25 18:49:19+00:00,@Renant29 kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
2012-07-24 01:18:37+00:00,Brincar com a vida no modo 'expert' fingindo um sorriso besta no rosto eh mais complicado do q eu pensei...
2012-07-23 17:08:12+00:00,@nelmapink Kk eh nozes sempre!!
2012-07-17 17:09:19+00:00,Meu irmão conseguiu atingir um nivel transcedental de burrice... 2a etec perdida de besta =p
2012-07-17 15:30:49+00:00,O @renant29 vai me xingar mto qdo ver o que eu ganhei do meu primo kkkkkkkkkkkk'
2012-07-17 03:52:29+00:00,Um 'R' em Inorgânica e outro 'R' da misericórdia em Quali... Juarez filho da mãe kkkkkkkkkkkkk'
2012-07-17 03:40:40+00:00,@taxinhaaa @nelmapink Kkkkkkkkkkkkkkkkkkkkkkkkkk'
2012-07-17 03:34:53+00:00,@taxinhaaa @nelmapink Kkkkkkkkkkkkkkkkk' faz isso não... desperdicio de reagentes vai contra as regras do laboratório kkkk'
2012-07-17 03:28:55+00:00,Muita treta... o que eu presenciei nesse fds foi desumano =(
2012-07-17 03:24:13+00:00,"@taxinhaaa @nelmapink engolirás muita amônia, n esqueça q sou extremamente atrapalhado no laboratório kkkkkkkk' brinks =)"
2012-07-13 16:22:55+00:00,@Renant29 @Rainha_maggot @crazyroslaine sub-verÇos?? KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
2012-07-13 16:22:32+00:00,@Taxinhaaa kkkkkkkkkkkk' tbm to c saudades de vc atormentando na sala junto com a @nelmapink kkkkkkkk =-)
2012-07-11 21:22:07+00:00,Será q vai ter praça hj? Tanto faz...
2012-07-11 21:19:58+00:00,Ateh q to começando a me familiarizar com essas funções... BM n ta sendo mais aquele bicho de 7 cabeças
2012-07-09 03:49:14+00:00,Quando eh que essa greve vai acabar?? =(
2012-07-09 03:46:01+00:00,Dia 08/07/12 ficará pra história kkkkkkkkkkkkk'
2012-07-07 15:57:06+00:00,O riff da byob parece que ficou mais facil de tocar do nda apokaok
2012-07-07 15:54:24+00:00,Tanta merda q podia fazer ontem e fico doente logo nesse dia... q raiva!
2012-07-07 15:51:57+00:00,@renant29 Vlw kra o/ to d boas agora apokapok
2012-07-07 15:50:00+00:00,@diinosaulo Kk' blz o/ ! ei e n esquece o meu truco apokpakk
2012-07-05 15:40:26+00:00,Eu ja sabia que minha querida etec iria me fazer sair de csa a toa de novo =/
2012-07-05 14:34:47+00:00,Feliz niver @lelehmorais ! o/
2012-07-05 14:33:40+00:00,"8 mensagens de 8 pessoas diferentes mandando ""vai curintia"" no meu cel... brota corintiano n sei daonde o.o"
2012-07-05 10:59:50+00:00,Agora eu manero na bebida kkkkkkkk'
2012-07-04 16:10:23+00:00,"Tudo que achei que iria acontecer não aconteceu, fico cada vez mais impressionado o//"
2012-07-04 16:01:40+00:00,@lelehmorais sobre o q? o.o
2012-07-01 20:27:51+00:00,N consigo mesmo ficar mto tempo em csa... moh tedio =p
2012-07-01 14:17:14+00:00,Ainda estou com uma impressão de que o Tatu semana q vem não vai prestar apokapok
2012-06-30 07:25:30+00:00,Meu parece q esse @faster_w nasceu mesmo pra fzr merda haha'
2012-06-29 04:49:00+00:00,Que roubada o.o
2012-06-26 16:35:10+00:00,@Luanssousa Salve mlk o/ mals n responder sua msg tava sem creditos dposak
2012-06-26 16:27:29+00:00,"Sail away my little sister, sail away... By the Other Side ♪"
2012-06-26 03:54:17+00:00,Não acredito q pra decifrar a porra daquela conta d matemática eu usei uma materia de Filosofia do prof Marcelo O.o esse prof eh mto foda o/
2012-06-26 03:51:27+00:00,@taxinhaaa puts em apfq? kk' q droga =/
2012-06-26 03:43:12+00:00,@renant29 @julianaavanti Kkkkkkkkkkkkkkkkkkkkkkkkkk
2012-06-26 03:41:28+00:00,@taxinhaaa Kkkkkkkk isso q dah... faltei a semana passada inteira tbm ahuahuah'
2012-06-26 03:39:55+00:00,@julianaavanti Kkkkkkkkkk o easy eh sem graça... tenta jogar um guitar hero no easy por muito tempo... enjoa! kkkkkk'
2012-06-26 03:37:08+00:00,"@taxinhaaa @diinosaulo @_larigoncalves @nelmapink @clayton020 @samuninja ei pessoal to meio desinformado, entao n teremos reposição d Quali?"
2012-06-26 03:32:39+00:00,@renant29 @crazyroslaine Vlw o/
2012-06-26 03:31:25+00:00,É... nada mal começar a viver a vida no modo expert! o modo hard ja estava ficando chato =)
2012-06-26 03:28:02+00:00,Vlw msm pelas dicas @crazyroslaine e @renant29 =)
2012-06-26 03:26:32+00:00,É... foda =p
2012-06-24 15:52:48+00:00,Mas preciso falar com a @crazyroslaine mais do que urgente! =p
2012-06-24 15:51:41+00:00,Dominamos a festa praticamente kkkkk
2012-06-24 15:50:56+00:00,"Festa junina no Simão, festa junina no Ney e as historias de terror de madrugada marcaram o mes apokapok"
2012-06-22 18:59:51+00:00,@Renant29 vc EH um desmiolado HDSAUDHSAUDHSAUDAHSUDSAHUDSAHSAUDSHAUHDSAUDSH
2012-06-22 17:22:27+00:00,@Renant29 kkkkkkkk eh bom msm rsrsrs zuera eh nois mlk o/
2012-06-22 13:46:55+00:00,However... hora de estudar apokapok
2012-06-22 13:20:03+00:00,"Mas curti o dia ontem... Mew esse @renant29 eh chato demais bebado, quase foi preso =p"
2012-06-22 13:17:59+00:00,Admito a mancada q dei... tenho q pedir desculpas pro cardoso logo =p
2012-06-22 13:16:13+00:00,Repeti umas 6532613545532(n+1) vezes que iria dar merda ontem #DitoeFeito kkk'
2012-06-21 14:13:51+00:00,Kk' eu e o @luanssousa somos mto bestas... fazer um minicurso de matlab sem entender merda nenhuma de matemática vai ser tenso kkkkkkkkkk'
2012-06-21 03:28:54+00:00,Quem eh o animal que consegue confundir naridrin com dipirona levanta a mão: \o/
2012-06-21 03:25:48+00:00,Maldita gripe =p
2012-06-21 03:24:35+00:00,@renant29 Big Apple! apokpoka
2012-06-18 20:26:57+00:00,Aff vou deixar pra passar na facul amanha... Hj ta tenso '-'
2012-06-18 19:34:51+00:00,@luanssousa Blz entao demoro! o/ amanha apareco assim que voltar da juração da bandeira!
2012-06-18 19:09:41+00:00,"@luanssousa Blz ajudo sim! Soh q o monitor pifou de vez, vou ver la c a minha tia, aew passo na sua csa pra pegar os cds =)"
2012-06-18 18:52:42+00:00,@luanssousa 150 cds? q cds? xD
2012-06-18 17:09:58+00:00,@luanssousa Semana q vem... mas pra mim começam amanhã kkk' =)
2012-06-18 16:37:36+00:00,Jurar a bandeira amanhã... desanimo '-' #GREVEnasFEDERAIS #GREVEnaUFABC
2012-06-18 15:20:05+00:00,"Ateh as 14:00 pro twitaço se destacar... acho que isso n deveria ser necessario, neh srta mídia? #GREVEnasFEDERAIS #GREVEnaUFABC"
2012-06-18 15:01:35+00:00,"E se eu misturar as hashtags #GREVEnasFEDERAIS e #GREVEnaUFABC com #justinbieber #fiuk #restart, será q sai algum resultado? '-'"
2012-06-18 14:56:05+00:00,Pow... eh foda uma pessoa que estudou mais de 8 anos depois de graduado e ser tão desvalorizada... #GREVEnasFEDERAIS #GREVEnaUfabc
2012-06-18 14:43:43+00:00,Espero que façam alguma coisa lógo '-' #GREVEnasFEDERAIS #GREVEnaUFABC
2012-06-18 03:33:40+00:00,@lelehmorais Blz o//
2012-06-18 03:30:06+00:00,"@lelehmorais Sei la umas meio dia e meio +-, vc me faz compania ateh o busão chegar kk' *-*"
2012-06-18 03:28:28+00:00,Mew esses dias estou vendo coisas muito absurdas... '-'
2012-06-18 03:26:43+00:00,@lelehmorais Entao apareça por la mais cedo kkk'
2012-06-18 03:25:56+00:00,"Primeiro ensaio da nossa banda foi melhor do que eu esperava *-* @renant29, @crazyroslaine, @Mr_alef_"
2012-06-18 03:17:15+00:00,"@lelehmorais Soh de noite, mas n sei ainda se vou pro tecnico amanhã =s"
2012-06-17 05:15:24+00:00,Mas acho que uso muitos 'mas' nos meus tweets apokpaokpoak
2012-06-17 05:12:33+00:00,"Mas ainda acho q essas ferias de julho, sem técnico e com faculdade em greve, não vai prestar kkkkkkkkkkkkkkkkkkk'"
2012-06-17 05:09:38+00:00,"Mas valorizo muito meus amigos... não sei perder uma amizade assim, tão bestamente =p"
2012-06-17 05:08:40+00:00,"E ontem nem soube o que pensar sobre o Gustavo... trocar ideia ou não, discutir, questionar, pra mim tanto faz, n mudaria mta coisa '-'"
2012-06-17 05:03:54+00:00,Pra mim twitter se assemelha àquela terapia de fazer quadrados na tela do windows quando n se tem nda pra fazer!
2012-06-17 05:01:32+00:00,De fato... o @renant29 falou uma coisa que é verdade: pra q postar algo no twitter ja q pouca gente lê e menos ainda se interessa? xD
2012-06-17 04:59:29+00:00,Curti o dia hoje com o @renant29 e o @ronygdr ! Ei @nelmapink não botamos fogo nem expulsaram a gnt do shopping como esperado haha'
2012-06-15 02:37:21+00:00,Ir pro tecnico correndo pra lavar vidraria o dia todo... trágico apokapo
2012-06-14 16:08:58+00:00,"E o cifú falando: ""Greve não eh férias""... há, meu cerebro tambem está de greve! xD"
2012-06-14 16:07:29+00:00,"@luanssousa Não., aquilo estava assombrosamente vazio... soh dava um terço da minha sala e os guardinhas por la =S"
2012-06-14 15:48:47+00:00,Nossa to escutando mto projota ultimamente =S
2012-06-14 15:06:51+00:00,@renant29 Li! liga pra mim qdo puder vei o/
2012-06-14 06:26:10+00:00,"Como eh ótimo o silêncio da madrugada... coisa rara de se encontrar no dia ( e ateh a noite, as vezes =S )"
2012-06-14 04:47:15+00:00,me bateu a saudade de algumas pessoas que irei querer ve-las ainda esse mês o/
2012-06-14 04:42:52+00:00,Acho que consegui desvendar pelo menos uns 15% daquele codigo maligno de BM =S
2012-06-13 23:36:45+00:00,Alguem que colou todas as respostas da prova de Quali??: EU! apokapokapok
2012-06-13 04:44:54+00:00,@renant29 Vai dormir animal kkk'
2012-06-13 04:39:10+00:00,"Aew, ontem, Dia dos Namorados, comprei um presente pra aquela que tanto amo na vida *-*"
2012-06-13 04:37:07+00:00,Ateh q to mais confiante nessa prova de Fisico-quimica do que aquela de organica... pelo menos se eu tirar um I n reprovo q nem na outra kk'
2012-06-13 04:35:13+00:00,"Corri pra fazer a prova d ambiental, corri pra pegar o busão e corri pra subir a merda da rampa do bloco A...soh por causa da droga da bm =S"
2012-06-11 23:29:02+00:00,.Me salvei do pp kkkk. ..E aquele animal do Chinelinho que não parava de dar risada da minha cara tentando achar o nome do ácido apokdaospd
2012-06-11 23:27:09+00:00,Mew caí pra trás agora com a lista de exercicios de BM.... INSANO '_'
2012-06-11 15:34:23+00:00,@luanssousa Tinha... mas n usei muito bem esse tempo kkkk'
2012-06-11 15:33:08+00:00,Milagre esse q vou chegar cedão no tecnico o.o
2012-06-11 14:47:09+00:00,Se eu dançar nessa prova eu danço em SICO lindamente... n fiz nenhuma atividade do zé apokapok
2012-06-11 05:09:08+00:00,@lelehmorais Salve brow o/ e bye to indo dormir! bjs' =)
2012-06-11 05:03:58+00:00,foda =/
2012-06-11 05:03:02+00:00,Maldito professor Cifú... ele não sabe o que eh ao menos apoiar os colegas em questão da greve? Realmente a gnt Sifú nas mãos dele '-'
2012-06-09 19:17:16+00:00,Essa @lelemorais3 tem um puta dum raciocinio lento apokaokapoka
2012-06-09 06:07:00+00:00,"Enquanto eu tiver ps2 e qualquer motivo alheiro pra sair pra rua, estudar sempre ficará pra terceiro plano haha'"
2012-06-09 02:28:49+00:00,@lelemorais3 Depois eu falo... pelo twitter eh zoado kkkkkk' foi pra praça hj?
2012-06-09 02:22:42+00:00,@_samyramos Kkkkk' eh a vida rsrs'
2012-06-09 02:16:42+00:00,"@lelemorais3 Poizé, fzr o q ahuahua' =S"
2012-06-09 02:10:25+00:00,@lelemorais3 @kelsylva_ PIZZA? PIZZAAAAAAAA! huehuehuehue'
2012-06-09 02:06:41+00:00,Ficar de castigo e não poder sair pra lugar nenhum... pelo menos minha cama ta quentinha kkkkkkkkkkk'
